"altura","peso","imc","sexo","escolaridade","profissao","fumante","fumante.n","salario","carro","filho"
"10754",1.56,57.28,23.54,"F","2º Grau","Biológicas","não",0,3448.91,3,0
"10755",1.4,51.01,26.03,"M","2º Grau","Exatas","não",0,3037.38,3,0
"10756",1.52,55.63,24.08,"M","PósDoc","Humanas","sim",1,2480.4,2,1
"10757",1.71,63.46,21.7,"M","2º Grau","Exatas","sim",1,2849.37,1,1
"10758",1.64,60.68,22.56,"M","Mestrado","Exatas","não",0,3157.28,2,1
"10759",1.58,58.28,23.35,"F","Doutorado","Humanas","não",0,2802.56,1,2
"10760",1.56,57.25,23.52,"F","2º Grau","Humanas","sim",1,2938.4,0,0
"10761",1.39,50.47,26.12,"M","PósDoc","Exatas","sim",1,3346.84,3,0
"10762",1.45,53.19,25.3,"M","Mestrado","Exatas","não",0,3150.59,0,2
"10763",1.6,58.81,22.97,"F","2º Grau","Exatas","sim",1,3338.92,3,2
"10764",1.57,57.75,23.43,"F","Mestrado","Humanas","sim",1,2896.77,3,1
"10765",1.39,50.69,26.24,"M","2º Grau","Exatas","não",0,2444.5,1,0
"10766",1.48,54.07,24.68,"M","PósDoc","Humanas","não",0,2592.86,0,0
"10767",1.65,60.93,22.38,"F","3º Grau","Exatas","não",0,2667.01,0,1
"10768",1.57,57.89,23.49,"F","Mestrado","Exatas","não",0,2921.88,2,0
"10769",1.59,58.75,23.24,"F","Analfabeto","Humanas","não",0,3807.05,3,2
"10770",1.39,50.77,26.28,"F","Analfabeto","Biológicas","não",0,2997.12,2,1
"10771",1.47,53.85,24.92,"M","3º Grau","Exatas","sim",1,2800.84,0,1
"10772",1.5,55.14,24.51,"M","Analfabeto","Biológicas","não",0,2588.95,1,2
"10773",1.39,50.61,26.19,"F","Mestrado","Biológicas","não",0,3292.06,3,2
"10774",1.57,57.92,23.5,"M","Mestrado","Exatas","não",0,2351.88,3,1
"10775",1.52,55.95,24.22,"M","Mestrado","Biológicas","não",0,2293.12,3,2
"10776",1.58,58.06,23.26,"F","3º Grau","Humanas","sim",1,3335.9,2,0
"10777",1.49,54.45,24.53,"M","PósDoc","Humanas","sim",1,3192.18,3,0
"10778",1.49,54.78,24.67,"F","Doutorado","Exatas","não",0,2924.94,0,2
"10779",1.58,58.01,23.24,"F","3º Grau","Biológicas","não",0,3394.2,2,2
"10780",1.34,48.58,27.06,"F","Doutorado","Humanas","não",0,3492.72,2,1
"10781",1.56,57.55,23.65,"M","1º Grau","Biológicas","não",0,2753.95,2,2
"10782",1.5,55.06,24.47,"M","3º Grau","Biológicas","sim",1,2642.88,1,1
"10783",1.46,53.58,25.14,"M","3º Grau","Biológicas","sim",1,3150.86,0,1
"10784",1.47,53.95,24.97,"F","Doutorado","Humanas","sim",1,2866.93,0,0
"10785",1.47,53.93,24.96,"F","1º Grau","Exatas","não",0,2980.51,1,0
"10786",1.57,57.7,23.41,"M","3º Grau","Humanas","sim",1,3540.49,3,1
"10787",1.51,55.37,24.28,"M","Doutorado","Humanas","não",0,2680.81,0,2
"10788",1.49,54.6,24.59,"F","3º Grau","Exatas","sim",1,2602.02,0,0
"10789",1.35,49.14,26.96,"F","Mestrado","Biológicas","não",0,2437.75,2,0
"10790",1.4,51.06,26.05,"M","2º Grau","Exatas","não",0,3290.77,3,0
"10791",1.41,51.48,25.89,"F","1º Grau","Humanas","sim",1,3398.74,3,1
"10792",1.53,56.33,24.06,"F","Mestrado","Exatas","não",0,3425.94,2,1
"10793",1.44,52.79,25.46,"F","Doutorado","Biológicas","não",0,3069.03,3,1
"10794",1.63,60.27,22.68,"F","1º Grau","Exatas","sim",1,2563.93,0,2
"10795",1.57,57.74,23.42,"M","2º Grau","Exatas","não",0,3568.33,0,2
"10796",1.57,57.77,23.44,"F","3º Grau","Humanas","sim",1,3263.82,3,0
"10797",1.3,46.83,27.71,"F","PósDoc","Exatas","sim",1,2270.5,2,0
"10798",1.53,56.1,23.97,"F","2º Grau","Exatas","não",0,3504.55,0,1
"10799",1.46,53.24,24.98,"M","2º Grau","Humanas","sim",1,3445.91,2,0
"10800",1.49,54.72,24.65,"M","Doutorado","Humanas","sim",1,3518.12,3,2
"10801",1.6,59.07,23.07,"M","Mestrado","Exatas","não",0,2561.19,3,2
"10802",1.33,48.3,27.31,"M","PósDoc","Exatas","sim",1,3865.85,3,1
"10803",1.41,51.46,25.88,"F","PósDoc","Exatas","sim",1,3381.32,2,0
"10804",1.4,51.14,26.09,"F","Doutorado","Exatas","não",0,2760.91,2,0
"10805",1.42,51.77,25.67,"F","2º Grau","Biológicas","não",0,4071.33,0,1
"10806",1.41,51.59,25.95,"M","3º Grau","Humanas","sim",1,3453.94,3,1
"10807",1.4,50.89,25.96,"F","PósDoc","Humanas","não",0,3423.69,2,2
"10808",1.67,61.67,22.11,"F","2º Grau","Biológicas","não",0,2875.16,2,2
"10809",1.44,52.64,25.39,"M","Doutorado","Biológicas","sim",1,2405.36,2,1
"10810",1.59,58.5,23.14,"F","1º Grau","Biológicas","não",0,3501.16,0,0
"10811",1.46,53.24,24.98,"M","PósDoc","Humanas","não",0,2880.95,2,0
"10812",1.52,55.77,24.14,"F","2º Grau","Exatas","sim",1,2457.11,1,2
"10813",1.5,54.81,24.36,"M","Mestrado","Humanas","não",0,2994.3,2,2
"10814",1.41,51.47,25.89,"M","Mestrado","Humanas","sim",1,2837.85,2,2
"10815",1.53,56.01,23.93,"F","2º Grau","Exatas","não",0,3757.33,0,0
"10816",1.58,58.05,23.25,"M","3º Grau","Humanas","não",0,4103.41,1,1
"10817",1.49,54.68,24.63,"F","Mestrado","Biológicas","sim",1,3286.22,2,0
"10818",1.44,52.46,25.3,"F","Doutorado","Humanas","sim",1,3568.71,2,1
"10819",1.52,55.92,24.2,"M","3º Grau","Humanas","não",0,2742.88,0,2
"10820",1.44,52.52,25.33,"M","Mestrado","Humanas","sim",1,3116.44,3,0
"10821",1.3,46.88,27.74,"M","Mestrado","Humanas","não",0,2057.19,1,0
"10822",1.49,54.41,24.51,"F","PósDoc","Exatas","não",0,3173.28,3,1
"10823",1.54,56.55,23.84,"M","Mestrado","Exatas","sim",1,2969.72,2,1
"10824",1.51,55.32,24.26,"M","Mestrado","Humanas","não",0,2435.49,2,0
"10825",1.53,56.31,24.05,"F","3º Grau","Humanas","não",0,2661.85,1,0
"10826",1.36,49.59,26.81,"F","1º Grau","Biológicas","não",0,2952.02,2,0
"10827",1.32,47.99,27.54,"M","2º Grau","Humanas","não",0,3142.56,2,2
"10828",1.46,53.57,25.13,"F","3º Grau","Exatas","não",0,3187.02,2,2
"10829",1.43,52.01,25.43,"F","Analfabeto","Exatas","sim",1,2451.25,3,0
"10830",1.71,63.43,21.69,"F","PósDoc","Humanas","não",0,3082.65,1,2
"10831",1.48,54.34,24.81,"F","Mestrado","Biológicas","não",0,3354.65,2,0
"10832",1.66,61.43,22.29,"M","Analfabeto","Biológicas","não",0,3132.37,0,0
"10833",1.72,63.6,21.5,"M","Mestrado","Exatas","não",0,3399.21,0,2
"10834",1.53,56.08,23.96,"F","2º Grau","Humanas","não",0,3257.17,0,2
"10835",1.34,48.51,27.02,"M","1º Grau","Humanas","não",0,3301.7,1,0
"10836",1.37,49.95,26.61,"F","PósDoc","Biológicas","sim",1,3455.42,3,2
"10837",1.45,53.13,25.27,"F","3º Grau","Exatas","não",0,3283.64,2,1
"10838",1.57,57.77,23.44,"M","PósDoc","Humanas","não",0,3041.09,3,2
"10839",1.39,50.56,26.17,"F","Doutorado","Exatas","não",0,2771.77,0,2
"10840",1.52,55.98,24.23,"M","Analfabeto","Humanas","sim",1,2215.37,0,1
"10841",1.42,51.74,25.66,"F","Doutorado","Exatas","sim",1,2213.47,3,1
"10842",1.45,52.97,25.19,"M","1º Grau","Humanas","não",0,2418.44,0,2
"10843",1.56,57.55,23.65,"F","Mestrado","Biológicas","sim",1,2550.1,3,0
"10844",1.54,56.66,23.89,"M","1º Grau","Biológicas","não",0,3089.83,0,2
"10845",1.38,50.36,26.44,"F","3º Grau","Humanas","não",0,2784.05,0,2
"10846",1.55,57.06,23.75,"F","PósDoc","Biológicas","não",0,3371.89,2,2
"10847",1.49,54.66,24.62,"F","PósDoc","Biológicas","não",0,3048.71,1,2
"10848",1.39,50.44,26.11,"M","Doutorado","Humanas","não",0,3507.34,3,2
"10849",1.45,52.87,25.15,"M","1º Grau","Humanas","sim",1,2755.58,1,1
"10850",1.49,54.8,24.68,"F","Mestrado","Biológicas","não",0,2084.29,1,0
"10851",1.49,54.44,24.52,"M","Analfabeto","Biológicas","não",0,2164.59,3,1
"10852",1.54,56.7,23.91,"M","1º Grau","Biológicas","sim",1,2369.2,2,2
"10853",1.43,52.26,25.56,"F","PósDoc","Humanas","não",0,3455.81,1,1
"10854",1.5,54.99,24.44,"F","Mestrado","Humanas","não",0,2934.86,3,2
"10855",1.56,57.21,23.51,"F","1º Grau","Biológicas","não",0,2539.42,2,0
"10856",1.58,58.05,23.25,"M","Analfabeto","Exatas","não",0,2453.85,2,1
"10857",1.43,52.29,25.57,"F","3º Grau","Biológicas","não",0,2763.48,0,1
"10858",1.49,54.47,24.53,"F","Doutorado","Biológicas","não",0,3036.64,2,2
"10859",1.36,49.2,26.6,"M","1º Grau","Biológicas","não",0,3226.74,0,1
"10860",1.49,54.76,24.67,"M","Doutorado","Biológicas","não",0,2751.27,1,2
"10861",1.57,57.7,23.41,"M","PósDoc","Exatas","não",0,2452.65,2,2
"10862",1.44,52.68,25.41,"F","Mestrado","Humanas","não",0,2465.39,3,0
"10863",1.58,58.16,23.3,"M","2º Grau","Exatas","sim",1,2969.35,0,1
"10864",1.53,56.37,24.08,"M","3º Grau","Biológicas","sim",1,2969.55,2,0
"10865",1.57,57.88,23.48,"M","2º Grau","Biológicas","não",0,2059.87,1,2
"10866",1.58,58.29,23.35,"M","PósDoc","Biológicas","sim",1,3171.11,3,0
"10867",1.44,52.51,25.32,"M","1º Grau","Biológicas","sim",1,2585.82,1,2
"10868",1.53,56.09,23.96,"F","Mestrado","Humanas","não",0,2977.81,0,0
"10869",1.47,53.82,24.91,"M","3º Grau","Humanas","não",0,2529.5,3,0
"10870",1.5,55.13,24.5,"M","Mestrado","Biológicas","não",0,2749.49,1,0
"10871",1.49,54.67,24.63,"F","1º Grau","Biológicas","sim",1,3127.88,3,0
"10872",1.66,61.26,22.23,"M","PósDoc","Exatas","sim",1,2922.29,0,0
"10873",1.4,50.87,25.95,"M","Mestrado","Exatas","não",0,2958.09,0,2
"10874",1.62,59.81,22.79,"M","2º Grau","Humanas","não",0,3185.18,2,2
"10875",1.72,63.87,21.59,"M","1º Grau","Biológicas","não",0,2502.92,0,2
"10876",1.55,56.98,23.72,"F","Analfabeto","Biológicas","não",0,3366.46,0,0
"10877",1.32,47.77,27.42,"M","3º Grau","Exatas","não",0,2806.23,0,0
"10878",1.53,56.37,24.08,"F","3º Grau","Humanas","não",0,2567.36,1,2
"10879",1.52,55.69,24.1,"F","Doutorado","Biológicas","não",0,3741.32,2,0
"10880",1.57,57.93,23.5,"M","Doutorado","Biológicas","não",0,3335.32,1,2
"10881",1.45,53.16,25.28,"M","2º Grau","Biológicas","não",0,3144.22,1,0
"10882",1.59,58.53,23.15,"M","3º Grau","Biológicas","sim",1,3765.89,3,1
"10883",1.56,57.51,23.63,"F","Doutorado","Humanas","sim",1,2594.68,0,0
"10884",1.4,50.88,25.96,"M","2º Grau","Humanas","sim",1,2491.99,1,0
"10885",1.71,63.42,21.69,"F","1º Grau","Exatas","não",0,3519.52,1,0
"10886",1.44,52.46,25.3,"F","PósDoc","Exatas","não",0,3802.27,1,0
"10887",1.55,56.82,23.65,"F","3º Grau","Humanas","sim",1,3393.28,3,2
"10888",1.51,55.26,24.24,"F","3º Grau","Biológicas","não",0,3669.6,3,0
"10889",1.36,49.41,26.71,"M","Analfabeto","Biológicas","não",0,2984.76,3,1
"10890",1.52,56,24.24,"F","Analfabeto","Exatas","não",0,3288.65,2,1
"10891",1.48,54.27,24.78,"M","3º Grau","Biológicas","sim",1,2795.03,1,0
"10892",1.47,53.63,24.82,"F","Mestrado","Exatas","sim",1,3153.24,2,1
"10893",1.71,63.43,21.69,"F","Analfabeto","Exatas","sim",1,2918.56,3,2
"10894",1.66,61.46,22.3,"F","Doutorado","Biológicas","sim",1,3275.36,0,0
"10895",1.5,55.17,24.52,"F","1º Grau","Humanas","sim",1,2375.37,0,1
"10896",1.5,55.2,24.53,"M","Doutorado","Exatas","sim",1,2923.75,0,0
"10897",1.61,59.43,22.93,"F","PósDoc","Biológicas","sim",1,2727.95,3,2
"10898",1.67,61.97,22.22,"M","2º Grau","Exatas","sim",1,3521.47,3,0
"10899",1.59,58.67,23.21,"M","3º Grau","Biológicas","não",0,3346.58,2,1
"10900",1.31,47.38,27.61,"F","1º Grau","Exatas","não",0,2937.13,2,1
"10901",1.48,54.31,24.79,"F","PósDoc","Exatas","sim",1,3194.32,1,0
"10902",1.39,50.78,26.28,"F","Mestrado","Exatas","sim",1,3286.61,3,0
"10903",1.63,60.32,22.7,"F","3º Grau","Biológicas","sim",1,3077.48,1,1
"10904",1.62,59.97,22.85,"F","Analfabeto","Biológicas","não",0,2084.85,2,2
"10905",1.58,58.34,23.37,"F","3º Grau","Exatas","sim",1,2974.53,0,0
"10906",1.49,54.72,24.65,"M","Doutorado","Exatas","não",0,2628.3,0,0
"10907",1.59,58.56,23.16,"M","Doutorado","Humanas","sim",1,2462.75,0,0
"10908",1.48,54.09,24.69,"F","Mestrado","Biológicas","sim",1,2857.62,3,1
"10909",1.46,53.36,25.03,"M","3º Grau","Exatas","não",0,2595.47,2,1
"10910",1.51,55.6,24.38,"F","Analfabeto","Humanas","sim",1,3321.65,3,1
"10911",1.32,47.81,27.44,"M","Doutorado","Biológicas","não",0,2506.71,1,2
"10912",1.56,57.43,23.6,"F","2º Grau","Biológicas","não",0,3052.64,3,2
"10913",1.53,56.03,23.94,"F","3º Grau","Biológicas","sim",1,3254.62,0,0
"10914",1.49,54.56,24.58,"F","Analfabeto","Exatas","sim",1,2646.61,3,0
"10915",1.7,62.85,21.75,"F","3º Grau","Exatas","sim",1,3070.59,3,1
"10916",1.47,53.77,24.88,"M","Mestrado","Exatas","sim",1,2152.6,3,1
"10917",1.57,57.68,23.4,"F","2º Grau","Humanas","não",0,3315.8,2,1
"10918",1.31,47.23,27.52,"M","2º Grau","Exatas","não",0,3817.04,0,2
"10919",1.41,51.34,25.82,"M","Doutorado","Exatas","não",0,2498.69,3,0
"10920",1.63,60.35,22.71,"F","Mestrado","Exatas","sim",1,3058.81,1,1
"10921",1.5,54.95,24.42,"F","PósDoc","Humanas","não",0,3217.11,0,1
"10922",1.52,55.7,24.11,"F","Mestrado","Biológicas","sim",1,3126.59,2,2
"10923",1.49,54.7,24.64,"F","1º Grau","Exatas","não",0,3578.46,1,2
"10924",1.5,55.06,24.47,"M","PósDoc","Exatas","não",0,2700,0,1
"10925",1.47,54,24.99,"M","Doutorado","Exatas","sim",1,3556.52,1,2
"10926",1.39,50.76,26.27,"M","3º Grau","Biológicas","sim",1,2849.23,2,0
"10927",1.62,59.81,22.79,"F","2º Grau","Exatas","não",0,3012.82,1,2
"10928",1.46,53.6,25.15,"F","1º Grau","Biológicas","sim",1,3362.37,3,1
"10929",1.73,64.37,21.51,"F","Doutorado","Humanas","sim",1,3104.15,3,0
"10930",1.5,55.17,24.52,"M","3º Grau","Exatas","sim",1,2749.03,3,0
"10931",1.48,54.01,24.66,"F","Mestrado","Exatas","não",0,3118.8,2,0
"10932",1.4,50.8,25.92,"F","Mestrado","Biológicas","não",0,2971.52,1,2
"10933",1.59,58.42,23.11,"F","Doutorado","Exatas","não",0,3305.41,0,0
"10934",1.46,53.44,25.07,"F","Analfabeto","Biológicas","sim",1,3009.1,1,0
"10935",1.51,55.52,24.35,"M","3º Grau","Biológicas","não",0,2724.28,3,1
"10936",1.61,59.43,22.93,"F","Analfabeto","Humanas","não",0,3361,3,1
"10937",1.61,59.48,22.95,"F","Doutorado","Humanas","não",0,3064.31,1,0
"10938",1.65,60.93,22.38,"M","Analfabeto","Exatas","sim",1,2829.14,0,0
"10939",1.44,52.44,25.29,"M","Mestrado","Exatas","não",0,2676.88,2,2
"10940",1.36,49.6,26.82,"M","Doutorado","Exatas","sim",1,3501.31,3,1
"10941",1.45,52.96,25.19,"M","Mestrado","Biológicas","sim",1,3202.16,0,1
"10942",1.64,60.73,22.58,"F","Doutorado","Humanas","sim",1,2847.52,2,2
"10943",1.5,54.91,24.4,"F","Analfabeto","Exatas","não",0,3005.05,3,2
"10944",1.55,57.02,23.73,"F","Analfabeto","Exatas","não",0,2771.39,1,1
"10945",1.51,55.28,24.24,"M","Mestrado","Exatas","não",0,3613.24,2,1
"10946",1.45,53.19,25.3,"M","1º Grau","Biológicas","não",0,2266.41,2,2
"10947",1.44,52.48,25.31,"F","2º Grau","Exatas","não",0,3019.41,1,2
"10948",1.56,57.22,23.51,"F","Analfabeto","Exatas","não",0,3470.21,3,1
"10949",1.47,53.95,24.97,"F","3º Grau","Exatas","sim",1,2965.74,3,1
"10950",1.59,58.58,23.17,"F","2º Grau","Humanas","não",0,3385.34,3,1
"10951",1.52,55.88,24.19,"F","3º Grau","Biológicas","não",0,3530.77,1,2
"10952",1.43,52.19,25.52,"M","1º Grau","Exatas","não",0,3023.38,2,1
"10953",1.41,51.29,25.8,"M","Mestrado","Humanas","sim",1,2954.37,2,0
"10954",1.36,49.38,26.7,"M","2º Grau","Biológicas","sim",1,3762.04,1,1
"10955",1.47,53.93,24.96,"F","2º Grau","Humanas","não",0,3042.96,2,2
"10956",1.45,53.01,25.21,"F","Doutorado","Biológicas","não",0,2407.58,1,2
"10957",1.4,51.1,26.07,"M","Analfabeto","Humanas","não",0,2974.95,1,1
"10958",1.57,57.74,23.42,"M","Analfabeto","Humanas","sim",1,3501.58,2,2
"10959",1.32,47.76,27.41,"F","2º Grau","Exatas","sim",1,3190.54,1,2
"10960",1.5,54.86,24.38,"F","2º Grau","Exatas","não",0,2885.09,1,0
"10961",1.52,55.71,24.11,"M","1º Grau","Biológicas","não",0,3546.43,2,0
"10962",1.55,57.04,23.74,"M","PósDoc","Exatas","não",0,2154.66,0,0
"10963",1.47,53.65,24.83,"F","Analfabeto","Biológicas","não",0,3107.66,0,1
"10964",1.54,56.56,23.85,"F","Analfabeto","Exatas","não",0,3740.32,0,1
"10965",1.42,51.8,25.69,"F","3º Grau","Biológicas","não",0,3001.19,2,1
"10966",1.63,60.07,22.61,"F","PósDoc","Exatas","não",0,3261.53,2,0
"10967",1.55,56.93,23.7,"M","1º Grau","Biológicas","sim",1,2524.66,0,2
"10968",1.4,50.85,25.94,"F","Doutorado","Humanas","sim",1,3405.68,1,1
"10969",1.52,55.9,24.19,"F","Doutorado","Exatas","não",0,2838.88,1,0
"10970",1.54,56.78,23.94,"M","Mestrado","Humanas","sim",1,2851.4,0,0
"10971",1.54,56.66,23.89,"M","Analfabeto","Humanas","sim",1,2675.15,2,0
"10972",1.59,58.5,23.14,"M","PósDoc","Biológicas","sim",1,3991.82,3,1
"10973",1.55,57,23.73,"M","PósDoc","Humanas","não",0,2125.84,0,2
"10974",1.52,55.73,24.12,"F","Doutorado","Humanas","sim",1,2721.94,0,0
"10975",1.41,51.6,25.95,"F","Analfabeto","Exatas","não",0,2772.53,0,1
"10976",1.5,54.85,24.38,"F","Mestrado","Biológicas","sim",1,3724.32,1,2
"10977",1.33,48.28,27.29,"F","Mestrado","Humanas","sim",1,3108.99,1,0
"10978",1.32,47.63,27.34,"M","Mestrado","Humanas","não",0,3946.74,2,1
"10979",1.36,49.41,26.71,"M","Analfabeto","Humanas","sim",1,2336.14,0,0
"10980",1.62,59.84,22.8,"F","Doutorado","Exatas","sim",1,3344.82,1,2
"10981",1.51,55.56,24.37,"M","Analfabeto","Humanas","não",0,3229.62,3,1
"10982",1.54,56.67,23.9,"M","Doutorado","Humanas","não",0,2161.65,1,0
"10983",1.41,51.43,25.87,"M","1º Grau","Biológicas","não",0,2204.69,3,2
"10984",1.38,50.15,26.33,"F","3º Grau","Biológicas","sim",1,2295.98,1,0
"10985",1.45,53.03,25.22,"F","2º Grau","Humanas","sim",1,3116.02,0,2
"10986",1.39,50.72,26.25,"F","3º Grau","Exatas","não",0,2635.45,2,0
"10987",1.43,52.27,25.56,"F","Analfabeto","Exatas","sim",1,3150.05,2,2
"10988",1.52,55.95,24.22,"F","Analfabeto","Biológicas","não",0,3103.52,0,2
"10989",1.63,60.27,22.68,"F","2º Grau","Biológicas","sim",1,3108.28,3,2
"10990",1.6,58.89,23,"M","1º Grau","Humanas","sim",1,2860.9,1,2
"10991",1.54,56.63,23.88,"F","Doutorado","Humanas","sim",1,3031.99,0,1
"10992",1.59,58.48,23.13,"M","PósDoc","Exatas","sim",1,3766.52,1,0
"10993",1.52,55.85,24.17,"F","Mestrado","Humanas","sim",1,2808.33,2,1
"10994",1.57,57.95,23.51,"M","1º Grau","Exatas","não",0,2837.37,2,0
"10995",1.47,53.65,24.83,"F","Doutorado","Humanas","não",0,3282.52,3,1
"10996",1.53,56.35,24.07,"M","1º Grau","Humanas","não",0,2349.87,3,0
"10997",1.53,56.29,24.05,"M","Doutorado","Exatas","não",0,2692.38,3,2
"10998",1.35,48.81,26.78,"F","Doutorado","Biológicas","sim",1,3000.96,2,1
"10999",1.65,60.81,22.34,"M","2º Grau","Humanas","não",0,2889.31,3,1
"11000",1.3,47.04,27.83,"F","1º Grau","Exatas","não",0,3186.23,3,2
"11001",1.32,47.91,27.5,"F","2º Grau","Humanas","não",0,3270.43,2,2
"11002",1.68,62.1,22,"M","2º Grau","Humanas","não",0,3886.3,1,1
"11003",1.5,55.11,24.49,"M","2º Grau","Biológicas","não",0,3235.78,2,2
"11004",1.41,51.25,25.78,"M","Analfabeto","Humanas","não",0,2507.58,3,1
"11005",1.54,56.49,23.82,"F","Doutorado","Exatas","não",0,3273.92,2,2
"11006",1.3,46.88,27.74,"M","PósDoc","Humanas","sim",1,2668.55,1,1
"11007",1.54,56.72,23.92,"M","1º Grau","Humanas","não",0,2693.35,0,2
"11008",1.55,56.99,23.72,"M","Doutorado","Exatas","sim",1,2156.36,3,0
"11009",1.62,59.66,22.73,"F","Doutorado","Exatas","sim",1,2749.25,3,2
"11010",1.46,53.37,25.04,"M","2º Grau","Biológicas","não",0,3470.9,1,1
"11011",1.63,60.4,22.73,"F","PósDoc","Biológicas","não",0,2960.16,1,1
"11012",1.35,49.12,26.95,"F","Doutorado","Humanas","sim",1,3266.88,0,0
"11013",1.5,55.04,24.46,"F","PósDoc","Exatas","não",0,3892.06,0,1
"11014",1.5,54.91,24.4,"M","Doutorado","Humanas","não",0,2783.75,0,0
"11015",1.58,58.01,23.24,"M","Analfabeto","Biológicas","não",0,2774.74,1,0
"11016",1.55,56.91,23.69,"F","Analfabeto","Humanas","não",0,3261.68,2,0
"11017",1.47,53.72,24.86,"F","PósDoc","Humanas","não",0,3521.1,0,0
"11018",1.57,57.8,23.45,"F","Analfabeto","Humanas","sim",1,2987.65,1,2
"11019",1.57,57.67,23.4,"M","3º Grau","Biológicas","não",0,2976.26,1,1
"11020",1.51,55.21,24.21,"M","2º Grau","Biológicas","não",0,2896.74,2,1
"11021",1.4,50.98,26.01,"M","Mestrado","Biológicas","sim",1,2695.16,0,0
"11022",1.47,53.66,24.83,"F","3º Grau","Biológicas","sim",1,3552.18,0,2
"11023",1.56,57.35,23.57,"F","1º Grau","Humanas","sim",1,3269.27,1,1
"11024",1.55,57.01,23.73,"M","PósDoc","Biológicas","não",0,2764.66,0,0
"11025",1.61,59.35,22.9,"F","PósDoc","Humanas","sim",1,2658.15,3,0
"11026",1.55,56.86,23.67,"M","PósDoc","Humanas","não",0,3442.77,3,2
"11027",1.49,54.78,24.67,"M","Mestrado","Humanas","sim",1,1868.22,1,0
"11028",1.48,54.26,24.77,"M","Analfabeto","Exatas","não",0,3232.36,0,0
"11029",1.48,54.35,24.81,"F","2º Grau","Humanas","sim",1,3060.1,1,0
"11030",1.48,54.06,24.68,"F","PósDoc","Biológicas","não",0,2678.73,2,1
"11031",1.45,53.17,25.29,"F","2º Grau","Biológicas","sim",1,2809.99,1,0
"11032",1.4,51.01,26.03,"M","2º Grau","Exatas","sim",1,2431.28,1,1
"11033",1.5,55.14,24.51,"F","3º Grau","Exatas","não",0,3321.77,2,2
"11034",1.53,56.11,23.97,"F","2º Grau","Biológicas","não",0,3695.24,2,1
"11035",1.51,55.29,24.25,"F","1º Grau","Exatas","sim",1,2584.9,1,1
"11036",1.55,56.89,23.68,"M","PósDoc","Biológicas","não",0,3390.48,3,0
"11037",1.51,55.3,24.25,"F","PósDoc","Humanas","sim",1,3020.89,3,0
"11038",1.53,56.14,23.98,"F","Mestrado","Biológicas","não",0,2765.91,0,2
"11039",1.4,50.96,26,"F","PósDoc","Humanas","não",0,3060.53,0,2
"11040",1.74,64.5,21.3,"M","PósDoc","Humanas","sim",1,3077.84,2,2
"11041",1.36,49.56,26.79,"F","Analfabeto","Biológicas","não",0,2958.32,2,2
"11042",1.53,56.4,24.09,"F","3º Grau","Humanas","não",0,2496.78,0,2
"11043",1.47,53.68,24.84,"M","PósDoc","Biológicas","não",0,3533.02,1,2
"11044",1.28,46.11,28.14,"F","2º Grau","Biológicas","não",0,3139.92,0,2
"11045",1.47,53.94,24.96,"F","3º Grau","Exatas","não",0,3143.45,1,1
"11046",1.42,51.96,25.77,"F","Analfabeto","Biológicas","não",0,3028.82,2,0
"11047",1.44,52.68,25.41,"M","1º Grau","Humanas","não",0,3622.89,0,1
"11048",1.53,56.36,24.08,"F","Doutorado","Exatas","sim",1,3349.87,1,1
"11049",1.47,53.91,24.95,"F","PósDoc","Biológicas","sim",1,2756.47,0,1
"11050",1.53,56.31,24.05,"M","1º Grau","Biológicas","sim",1,2713.82,1,2
"11051",1.53,56.18,24,"M","Mestrado","Biológicas","não",0,3303.49,0,1
"11052",1.42,51.79,25.68,"M","Mestrado","Exatas","não",0,3053.32,1,1
"11053",1.61,59.36,22.9,"F","Mestrado","Exatas","não",0,2434.63,1,0
"11054",1.31,47.48,27.67,"M","PósDoc","Humanas","não",0,3310.46,2,2
"11055",1.51,55.47,24.33,"M","1º Grau","Biológicas","não",0,2947.69,2,1
"11056",1.54,56.43,23.79,"M","3º Grau","Exatas","não",0,3508.42,3,0
"11057",1.34,48.57,27.05,"F","PósDoc","Biológicas","não",0,3602.51,0,2
"11058",1.47,53.88,24.93,"F","2º Grau","Biológicas","sim",1,3655.1,3,1
"11059",1.44,52.57,25.35,"F","1º Grau","Biológicas","sim",1,2922.9,2,1
"11060",1.63,60.28,22.69,"F","Analfabeto","Exatas","sim",1,3167.39,2,0
"11061",1.37,49.67,26.46,"M","PósDoc","Biológicas","não",0,2632.42,2,2
"11062",1.58,58,23.23,"M","PósDoc","Exatas","não",0,3441.68,0,2
"11063",1.48,54.35,24.81,"M","1º Grau","Humanas","sim",1,2765.59,3,0
"11064",1.63,60.34,22.71,"M","1º Grau","Humanas","não",0,3364.78,0,0
"11065",1.78,66.37,20.95,"M","3º Grau","Humanas","não",0,2780.66,1,0
"11066",1.45,52.81,25.12,"F","Mestrado","Exatas","sim",1,3134.21,1,1
"11067",1.6,59.02,23.05,"M","2º Grau","Exatas","não",0,2802.59,0,1
"11068",1.52,55.92,24.2,"F","PósDoc","Humanas","sim",1,3131.44,1,2
"11069",1.54,56.76,23.93,"F","1º Grau","Exatas","sim",1,3288.66,0,2
"11070",1.58,58.21,23.32,"F","Doutorado","Humanas","não",0,2913.94,2,0
"11071",1.48,54.14,24.72,"M","2º Grau","Exatas","não",0,2365.48,3,2
